"","zip","Freq","city","state","latitude","longitude"
"1","",2,NA,NA,NA,NA
"2","00715",1,"Mercedita","PR",18.003492,-66.55868
"3","00718",1,"Naguabo","PR",18.22048,-65.74293
"4","00744",1,"Rio Blanco","PR",18.206329,-65.743058
"5","00767",1,"Yabucoa","PR",18.072752,-65.89703
"6","00795",1,"Juana Diaz","PR",18.036253,-66.50289
"7","01752",1,"Marlborough","MA",42.350909,-71.54753
"8","01890",1,"Winchester","MA",42.451945,-71.14276
"9","01902",1,"Lynn","MA",42.469946,-70.94113
"10","01904",1,"Lynn","MA",42.490421,-70.96579
"11","01905",1,"Lynn","MA",42.464879,-70.97411
"12","01907",2,"Swampscott","MA",42.474409,-70.90588
"13","01915",1,"Beverly","MA",42.560995,-70.8757
"14","01945",1,"Marblehead","MA",42.497146,-70.86323
"15","01960",1,"Peabody","MA",42.534045,-70.96146
"16","01970",1,"Salem","MA",42.516845,-70.8985
"17","02446",1,"Brookline","MA",42.344747,-71.12141
"18","08046",1,"Willingboro","NJ",40.029011,-74.88257
"19","08071",1,"Pitman","NJ",39.730964,-75.13009
"20","08075",1,"Riverside","NJ",40.029361,-74.9541
"21","08083",1,"Somerdale","NJ",39.842613,-75.02496
"22","08086",1,"Thorofare","NJ",39.849156,-75.18159
"23","08094",1,"Williamstown","NJ",39.647598,-74.95927
"24","08205",1,"Absecon","NJ",39.471263,-74.502457
"25","08215",1,"Egg Harbor City","NJ",39.548049,-74.62171
"26","08221",1,"Linwood","NJ",39.348616,-74.57387
"27","08225",1,"Northfield","NJ",39.370083,-74.55211
"28","08232",1,"Pleasantville","NJ",39.394616,-74.52212
"29","08234",4,"Egg Harbor Township","NJ",39.398172,-74.59667
"30","08244",1,"Somers Point","NJ",39.319901,-74.5999
"31","08302",1,"Bridgeton","NJ",39.445164,-75.24215
"32","08317",1,"Dorothy","NJ",39.406518,-74.82706
"33","08318",1,"Elmer","NJ",39.553504,-75.16843
"34","08330",2,"Mays Landing","NJ",39.478771,-74.7581
"35","08332",1,"Millville","NJ",39.379382,-75.03923
"36","08340",1,"Milmay","NJ",39.437265,-74.87926
"37","08360",3,"Vineland","NJ",39.492265,-75.01887
"38","08401",1,"Atlantic City","NJ",39.364966,-74.43903
"39","08830",1,"Iselin","NJ",40.571504,-74.3183
"40","09107",1,"Apo","AE",NA,NA
"41","16823",1,"Bellefonte","PA",40.91255,-77.77387
"42","19124",1,"Philadelphia","PA",40.017362,-75.08769
"43","20112",1,"Manassas","VA",38.685117,-77.44796
"44","20124",1,"Clifton","VA",38.797424,-77.39237
"45","20175",1,"Leesburg","VA",39.080037,-77.58025
"46","20191",1,"Reston","VA",38.934709,-77.3469
"47","20705",1,"Beltsville","MD",39.044509,-76.9133
"48","20744",1,"Fort Washington","MD",38.756347,-76.99034
"49","20748",1,"Temple Hills","MD",38.822163,-76.93974
"50","20772",1,"Upper Marlboro","MD",38.792281,-76.781
