"","zip","Freq","city","state","latitude","longitude"
"1","",2,NA,NA,NA,NA
"2","01040",1,"Holyoke","MA",42.201891,-72.6242
"3","01041",1,"Holyoke","MA",42.170731,-72.604842
"4","02151",1,"Revere","MA",42.416247,-71.00525
"5","06484",1,"Shelton","CT",41.306396,-73.1292
"6","10035",1,"New York","NY",40.802395,-73.93359
"7","11414",1,"Howard Beach","NY",40.658188,-73.84321
"8","11581",1,"Valley Stream","NY",40.651733,-73.71079
"9","11701",1,"Amityville","NY",40.6851,-73.41317
"10","11702",1,"Babylon","NY",40.687649,-73.32549
"11","11705",1,"Bayport","NY",40.74485,-73.055
"12","11706",1,"Bay Shore","NY",40.729098,-73.25607
"13","11717",1,"Brentwood","NY",40.783954,-73.24517
"14","11718",1,"Brightwaters","NY",40.720746,-73.26614
"15","11720",1,"Centereach","NY",40.868946,-73.08009
"16","11722",1,"Central Islip","NY",40.784874,-73.19924
"17","11726",1,"Copiague","NY",40.680892,-73.39609
"18","11727",1,"Coram","NY",40.884895,-73.00501
"19","11729",1,"Deer Park","NY",40.760698,-73.33007
"20","11730",1,"East Islip","NY",40.72921,-73.18073
"21","11731",1,"East Northport","NY",40.865998,-73.31796
"22","11735",1,"Farmingdale","NY",40.725968,-73.44151
"23","11738",1,"Farmingville","NY",40.83469,-73.0386
"24","11741",1,"Holbrook","NY",40.799706,-73.07485
"25","11742",1,"Holtsville","NY",40.810606,-73.04036
"26","11751",1,"Islip","NY",40.734212,-73.21416
"27","11752",1,"Islip Terrace","NY",40.754386,-73.18326
"28","11755",1,"Lake Grove","NY",40.855402,-73.11839
"29","11757",1,"Lindenhurst","NY",40.690049,-73.37442
"30","11758",1,"Massapequa","NY",40.68085,-73.46289
"31","11767",1,"Nesconset","NY",40.842962,-73.14303
"32","11779",1,"Ronkonkoma","NY",40.818826,-73.1187
"33","11783",1,"Seaford","NY",40.679752,-73.48959
"34","11784",1,"Selden","NY",40.869274,-73.04254
"35","11795",1,"West Islip","NY",40.713459,-73.3001
"36","11953",1,"Middle Island","NY",40.886267,-72.9552
"37","14224",1,"Buffalo","NY",42.836858,-78.75557
"38","14418",1,"Branchport","NY",42.605481,-77.20117
"39","14478",1,"Keuka Park","NY",42.589281,-77.11824
"40","14527",1,"Penn Yan","NY",42.664079,-77.05664
"41","15554",1,"New Paris","PA",40.121392,-78.5877
"42","15823",1,"Brockport","PA",41.254038,-78.71987
"43","15845",1,"Johnsonburg","PA",41.497219,-78.68278
"44","15853",2,"Ridgway","PA",41.420778,-78.74776
"45","16329",1,"Irvine","PA",41.821327,-79.27004
"46","17224",1,"Fort Loudon","PA",39.957564,-77.90623
"47","21502",2,"Cumberland","MD",39.646587,-78.77398
"48","21711",1,"Big Pool","MD",39.654773,-78.01823
"49","21722",1,"Clear Spring","MD",39.656474,-77.9152
"50","27817",1,"Chocowinity","NC",35.487026,-77.07986
"51","27889",1,"Washington","NC",35.560439,-77.03459
"52","27909",1,"Elizabeth City","NC",36.293192,-76.23692
"53","27921",1,"Camden","NC",36.344333,-76.16595
"54","27932",1,"Edenton","NC",36.093252,-76.62077
"55","27944",1,"Hertford","NC",36.157292,-76.4275
"56","27962",1,"Plymouth","NC",35.842107,-76.73206
"57","27980",1,"Tyner","NC",36.256548,-76.62627
"58","27983",1,"Windsor","NC",36.015391,-76.9349
