"","zip","Freq","city","state","latitude","longitude"
"1","02813",1,"Charlestown","RI",41.385256,-71.66813
"2","02818",1,"East Greenwich","RI",41.649733,-71.46815
"3","02879",1,"Wakefield","RI",41.423601,-71.52322
"4","02893",1,"West Warwick","RI",41.70375,-71.51857
"5","06105",1,"Hartford","CT",41.771166,-72.70255
"6","06351",1,"Jewett City","CT",41.604341,-71.97599
"7","06355",1,"Mystic","CT",41.360798,-71.97281
"8","06405",1,"Branford","CT",41.277763,-72.80542
"9","06441",1,"Higganum","CT",41.468654,-72.57956
"10","06460",1,"Milford","CT",41.21953,-73.0554
"11","06512",1,"East Haven","CT",41.276497,-72.87412
"12","06516",1,"West Haven","CT",41.272147,-72.96496
"13","06604",2,"Bridgeport","CT",41.178696,-73.20004
"14","06605",1,"Bridgeport","CT",41.163596,-73.21633
"15","06606",2,"Bridgeport","CT",41.209496,-73.20771
"16","06608",1,"Bridgeport","CT",41.188746,-73.1813
"17","06615",1,"Stratford","CT",41.175947,-73.13515
"18","06779",1,"Oakville","CT",41.592046,-73.08543
"19","06824",2,"Fairfield","CT",41.163879,-73.265744
"20","06831",1,"Greenwich","CT",41.061296,-73.65866
"21","06854",2,"Norwalk","CT",41.092196,-73.42869
"22","06870",2,"Old Greenwich","CT",41.033347,-73.56804
"23","06880",2,"Westport","CT",41.140896,-73.35178
"24","06897",1,"Wilton","CT",41.201446,-73.43758
"25","06902",1,"Stamford","CT",41.047996,-73.53688
"26","06903",1,"Stamford","CT",41.132096,-73.56423
"27","07001",1,"Avenel","NJ",40.578996,-74.27987
"28","07002",2,"Bayonne","NJ",40.666552,-74.11768
"29","07004",1,"Fairfield","NJ",40.879049,-74.29378
"30","07008",1,"Carteret","NJ",40.582504,-74.22997
"31","07011",1,"Clifton","NJ",40.879699,-74.14263
"32","07014",1,"Clifton","NJ",40.834049,-74.13669
"33","07022",1,"Fairview","NJ",40.816737,-74.00082
"34","07028",1,"Glen Ridge","NJ",40.80495,-74.2047
"35","07030",2,"Hoboken","NJ",40.744851,-74.03294
"36","07034",1,"Lake Hiawatha","NJ",40.881149,-74.38112
"37","07036",1,"Linden","NJ",40.633953,-74.25339
"38","07039",1,"Livingston","NJ",40.788733,-74.32134
"39","07047",1,"North Bergen","NJ",40.7946,-74.01963
"40","07050",1,"Orange","NJ",40.7683,-74.23603
"41","07052",1,"West Orange","NJ",40.78865,-74.25541
"42","07057",1,"Wallington","NJ",40.852931,-74.10925
"43","07059",1,"Warren","NJ",40.633652,-74.5008
"44","07060",2,"Plainfield","NJ",40.620102,-74.42481
"45","07065",1,"Rahway","NJ",40.607103,-74.28099
"46","07071",1,"Lyndhurst","NJ",40.808416,-74.12111
"47","07073",1,"East Rutherford","NJ",40.830158,-74.09707
"48","07074",2,"Moonachie","NJ",40.841668,-74.059
"49","07076",1,"Scotch Plains","NJ",40.637152,-74.37493
"50","07077",1,"Sewaren","NJ",40.553971,-74.25938
"51","07080",1,"South Plainfield","NJ",40.580703,-74.41401
"52","07081",1,"Springfield","NJ",40.701801,-74.32216
"53","07083",1,"Union","NJ",40.695401,-74.26933
"54","07086",1,"Union City","NJ",40.769796,-74.022351
"55","07087",1,"Union City","NJ",40.767751,-74.0302
"56","07088",1,"Vauxhall","NJ",40.718401,-74.28416
"57","07090",1,"Westfield","NJ",40.649202,-74.34567
"58","07103",1,"Newark","NJ",40.738501,-74.19507
"59","07105",1,"Newark","NJ",40.725801,-74.15206
"60","07106",1,"Newark","NJ",40.742251,-74.23006
"61","07107",1,"Newark","NJ",40.760667,-74.1879
"62","07111",1,"Irvington","NJ",40.725651,-74.23207
"63","07202",1,"Elizabeth","NJ",40.652302,-74.21692
"64","07203",1,"Roselle","NJ",40.653502,-74.26058
"65","07205",1,"Hillside","NJ",40.695552,-74.22856
"66","07208",1,"Elizabeth","NJ",40.673102,-74.22834
"67","07302",1,"Jersey City","NJ",40.721602,-74.04703
"68","07304",1,"Jersey City","NJ",40.716452,-74.07253
"69","07305",2,"Jersey City","NJ",40.701302,-74.08843
"70","07306",1,"Jersey City","NJ",40.733751,-74.06582
"71","07432",1,"Midland Park","NJ",40.99312,-74.14286
"72","07444",1,"Pompton Plains","NJ",40.964548,-74.29813
"73","07480",1,"West Milford","NJ",41.102569,-74.37047
"74","07508",1,"Haledon","NJ",40.945198,-74.18286
"75","07601",1,"Hackensack","NJ",40.888678,-74.0488
"76","07621",1,"Bergenfield","NJ",40.923748,-73.99879
"77","07643",2,"Little Ferry","NJ",40.850621,-74.04112
"78","07660",1,"Ridgefield Park","NJ",40.856749,-74.02278
"79","07666",1,"Teaneck","NJ",40.890964,-74.01115
"80","07712",1,"Asbury Park","NJ",40.232713,-74.03143
"81","07716",1,"Atlantic Highlands","NJ",40.407958,-74.03483
"82","07719",1,"Belmar","NJ",40.175357,-74.04694
"83","07720",1,"Bradley Beach","NJ",40.202113,-74.01353
"84","07722",1,"Colts Neck","NJ",40.300226,-74.18306
"85","07728",1,"Freehold","NJ",40.241036,-74.27629
"86","07730",1,"Hazlet","NJ",40.423298,-74.179
"87","07731",1,"Howell","NJ",40.146597,-74.20815
"88","07732",1,"Highlands","NJ",40.404474,-73.9904
"89","07734",1,"Keansburg","NJ",40.444407,-74.13298
"90","07735",2,"Keyport","NJ",40.439714,-74.19374
"91","07737",1,"Leonardo","NJ",40.416772,-74.06058
"92","07739",1,"Little Silver","NJ",40.33517,-74.04059
"93","07740",1,"Long Branch","NJ",40.297932,-73.99097
"94","07746",1,"Marlboro","NJ",40.316876,-74.26112
"95","07748",1,"Middletown","NJ",40.410213,-74.11718
"96","07750",1,"Monmouth Beach","NJ",40.332877,-73.97986
"97","07753",2,"Neptune","NJ",40.208945,-74.05261
"98","07757",2,"Oceanport","NJ",40.318115,-74.01239
"99","07758",1,"Port Monmouth","NJ",40.427561,-74.1069
"100","07760",2,"Rumson","NJ",40.369145,-73.99576
"101","07830",1,"Califon","NJ",40.723778,-74.81866
"102","07836",1,"Flanders","NJ",40.84405,-74.70134
"103","07901",1,"Summit","NJ",40.714501,-74.3633
"104","08005",1,"Barnegat","NJ",39.759581,-74.27398
"105","08008",7,"Beach Haven","NJ",39.614596,-74.2005
"106","08015",1,"Browns Mills","NJ",39.960596,-74.5606
"107","08046",1,"Willingboro","NJ",40.029011,-74.88257
"108","08050",1,"Manahawkin","NJ",39.707575,-74.25933
"109","08054",1,"Mount Laurel","NJ",39.949446,-74.90342
"110","08068",1,"Pemberton","NJ",39.961183,-74.66266
"111","08081",1,"Sicklerville","NJ",39.741385,-74.99035
"112","08087",7,"Tuckerton","NJ",39.59899,-74.36573
"113","08093",1,"Westville","NJ",39.861413,-75.13284
"114","08202",1,"Avalon","NJ",39.092928,-74.72688
