"","zip","Freq","city","state","latitude","longitude"
"1","",2,NA,NA,NA,NA
"2","00601",4,"Adjuntas","PR",18.180103,-66.74947
"3","00602",2,"Aguada","PR",18.363285,-67.18024
"4","00603",6,"Aguadilla","PR",18.448619,-67.13422
"5","00604",2,"Aguadilla","PR",18.498987,-67.13699
"6","00605",3,"Aguadilla","PR",18.465162,-67.141486
"7","00606",1,"Maricao","PR",18.182151,-66.9588
"8","00610",2,"Anasco","PR",18.288319,-67.13604
"9","00611",2,"Angeles","PR",18.279531,-66.80217
"10","00612",4,"Arecibo","PR",18.449732,-66.69879
"11","00613",1,"Arecibo","PR",18.458093,-66.732732
"12","00614",1,"Arecibo","PR",18.429675,-66.674506
"13","00616",2,"Bajadero","PR",18.426748,-66.67669
"14","00617",3,"Barceloneta","PR",18.455499,-66.55575
"15","00622",1,"Boqueron","PR",18.003125,-67.16745
"16","00623",2,"Cabo Rojo","PR",18.08643,-67.15222
"17","00624",1,"Penuelas","PR",18.055399,-66.72602
"18","00627",1,"Camuy","PR",18.435246,-66.85644
"19","00637",2,"Sabana Grande","PR",18.073078,-66.94864
"20","00638",3,"Ciales","PR",18.308139,-66.49835
"21","00641",1,"Utuado","PR",18.268896,-66.70519
"22","00646",5,"Dorado","PR",18.442798,-66.27689
"23","00647",1,"Ensenada","PR",17.964529,-66.93993
"24","00650",4,"Florida","PR",18.363331,-66.56773
"25","00652",2,"Garrochales","PR",18.457453,-66.61217
"26","00653",2,"Guanica","PR",17.992112,-66.90097
"27","00656",3,"Guayanilla","PR",18.038866,-66.79168
"28","00659",2,"Hatillo","PR",18.432956,-66.80039
"29","00660",3,"Hormigueros","PR",18.139108,-67.12085
"30","00662",2,"Isabela","PR",18.478855,-67.01973
"31","00664",3,"Jayuya","PR",18.212565,-66.59243
"32","00667",1,"Lajas","PR",18.017819,-67.04226
"33","00669",1,"Lares","PR",18.288418,-66.87503
"34","00670",2,"Las Marias","PR",18.241343,-66.97604
"35","00674",2,"Manati","PR",18.426137,-66.48697
"36","00676",3,"Moca","PR",18.37956,-67.08424
"37","00677",1,"Rincon","PR",18.336121,-67.23675
"38","00678",1,"Quebradillas","PR",18.442334,-66.93275
"39","00680",1,"Mayaguez","PR",18.205232,-67.12655
"40","00681",1,"Mayaguez","PR",18.219023,-67.508068
"41","00682",1,"Mayaguez","PR",18.208402,-67.15428
"42","00683",2,"San German","PR",18.092807,-67.04524
"43","00685",2,"San Sebastian","PR",18.332595,-66.98104
"44","00687",2,"Morovis","PR",18.31708,-66.41528
"45","00688",2,"Sabana Hoyos","PR",18.40415,-66.61348
"46","00690",2,"San Antonio","PR",18.495369,-67.09867
"47","00692",4,"Vega Alta","PR",18.419666,-66.33186
"48","00693",5,"Vega Baja","PR",18.440667,-66.3921
"49","00694",1,"Vega Baja","PR",18.443109,-66.398302
"50","00698",3,"Yauco","PR",18.06547,-66.85587
"51","00703",5,"Aguas Buenas","PR",18.246205,-66.12827
"52","00704",2,"Aguirre","PR",17.970112,-66.22291
"53","00705",3,"Aibonito","PR",18.12942,-66.26541
"54","00707",2,"Maunabo","PR",18.014505,-65.91018
"55","00714",1,"Arroyo","PR",17.987288,-66.05552
"56","00715",3,"Mercedita","PR",18.003492,-66.55868
"57","00716",2,"Ponce","PR",17.999066,-66.59965
"58","00717",1,"Ponce","PR",18.004303,-66.61374
"59","00718",1,"Naguabo","PR",18.22048,-65.74293
"60","00719",3,"Naranjito","PR",18.294571,-66.25098
"61","00720",1,"Orocovis","PR",18.217827,-66.42265
"62","00721",3,"Palmer","PR",18.364161,-65.778288
"63","00723",3,"Patillas","PR",18.023196,-66.0131
"64","00725",10,"Caguas","PR",18.233927,-66.04502
"65","00726",1,"Caguas","PR",18.212965,-66.058033
"66","00727",2,"Caguas","PR",18.23,-66.03
"67","00728",2,"Ponce","PR",18.013353,-66.65218
"68","00729",6,"Canovanas","PR",18.35615,-65.89089
"69","00730",2,"Ponce","PR",18.022626,-66.61727
"70","00731",1,"Ponce","PR",18.077329,-66.61192
"71","00732",1,"Ponce","PR",18.021781,-66.613742
"72","00733",1,"Ponce","PR",18.019331,-66.619165
"73","00734",1,"Ponce","PR",17.999499,-66.643934
"74","00735",2,"Ceiba","PR",18.258444,-65.65987
"75","00736",4,"Cayey","PR",18.112895,-66.15377
"76","00737",1,"Cayey","PR",18.102967,-66.139274
"77","00738",3,"Fajardo","PR",18.32265,-65.66116
"78","00739",6,"Cidra","PR",18.16984,-66.16271
"79","00740",2,"Puerto Real","PR",18.331711,-65.62761
"80","00741",3,"Punta Santiago","PR",18.160755,-65.75765
"81","00742",1,"Roosevelt Roads","PR",18.264872,-65.594769
"82","00744",1,"Rio Blanco","PR",18.206329,-65.743058
"83","00745",3,"Rio Grande","PR",18.366213,-65.82277
"84","00751",4,"Salinas","PR",17.993803,-66.26534
"85","00754",4,"San Lorenzo","PR",18.15633,-65.96831
"86","00757",1,"Santa Isabel","PR",17.98631,-66.39457
"87","00761",1,"Utuado","PR",18.265445,-66.702364
"88","00765",2,"Vieques","PR",18.125664,-65.45603
"89","00766",2,"Villalba","PR",18.126023,-66.48208
"90","00767",2,"Yabucoa","PR",18.072752,-65.89703
"91","00769",4,"Coamo","PR",18.092813,-66.3611
"92","00771",3,"Las Piedras","PR",18.18744,-65.87088
"93","00772",2,"Loiza","PR",18.427674,-65.87605
"94","00773",2,"Luquillo","PR",18.361344,-65.72133
"95","00775",2,"Culebra","PR",18.311149,-65.29257
"96","00777",1,"Juncos","PR",18.224088,-65.91316
"97","00778",3,"Gurabo","PR",18.258628,-65.97791
"98","00780",3,"Coto Laurel","PR",18.068538,-66.55939
"99","00782",5,"Comerio","PR",18.223348,-66.2267
"100","00783",4,"Corozal","PR",18.304874,-66.32305
"101","00784",5,"Guayama","PR",17.984137,-66.12779
"102","00785",1,"Guayama","PR",18.018822,-66.795603
"103","00786",1,"La Plata","PR",18.128092,-66.268717
"104","00791",6,"Humacao","PR",18.147257,-65.82269
"105","00792",2,"Humacao","PR",18.138029,-65.788499
"106","00794",4,"Barranquitas","PR",18.204294,-66.31058
"107","00795",4,"Juana Diaz","PR",18.036253,-66.50289
"108","00801",4,"St Thomas","VI",18.322285,-64.963715
"109","00802",10,"St Thomas","VI",18.322285,-64.963715
"110","00803",4,"St Thomas","VI",18.322285,-64.963715
"111","00804",3,"St Thomas","VI",18.322285,-64.963715
"112","00805",2,"St Thomas","VI",18.322285,-64.963715
"113","00820",6,"Christiansted","VI",17.734211,-64.734694
"114","00821",1,"Christiansted","VI",17.734211,-64.734694
"115","00822",2,"Christiansted","VI",17.734211,-64.734694
"116","00823",2,"Christiansted","VI",17.734211,-64.734694
"117","00824",2,"Christiansted","VI",17.734211,-64.734694
"118","00830",6,"St John","VI",18.32816,-64.740737
"119","00831",3,"St John","VI",18.32816,-64.740737
"120","00840",4,"Frederiksted","VI",17.734211,-64.734694
"121","00841",2,"Frederiksted","VI",17.734211,-64.734694
"122","00850",2,"Kingshill","VI",17.734211,-64.734694
"123","00851",2,"Kingshill","VI",17.734211,-64.734694
"124","00901",3,"San Juan","PR",18.465426,-66.10786
"125","00902",1,"San Juan","PR",18.410462,-66.060533
"126","00907",4,"San Juan","PR",18.451131,-66.07798
"127","00909",2,"San Juan","PR",18.442282,-66.06764
"128","00910",1,"San Juan","PR",18.410462,-66.060533
"129","00911",2,"San Juan","PR",18.45009,-66.0577
"130","00912",2,"San Juan","PR",18.445946,-66.05928
"131","00913",3,"San Juan","PR",18.450907,-66.04256
"132","00915",6,"San Juan","PR",18.436995,-66.04888
"133","00916",2,"San Juan","PR",18.410462,-66.060533
"134","00917",2,"San Juan","PR",18.422263,-66.0513
"135","00918",4,"San Juan","PR",18.417668,-66.06494
"136","00919",1,"San Juan","PR",18.410462,-66.060533
"137","00920",5,"San Juan","PR",18.41242,-66.09069
"138","00921",5,"San Juan","PR",18.394019,-66.08633
"139","00922",1,"San Juan","PR",18.410462,-66.060533
"140","00923",1,"San Juan","PR",18.410681,-66.03806
"141","00924",4,"San Juan","PR",18.401917,-66.01194
"142","00925",2,"San Juan","PR",18.400006,-66.05028
"143","00926",9,"San Juan","PR",18.361363,-66.0562
"144","00927",3,"San Juan","PR",18.39184,-66.06867
"145","00928",1,"San Juan","PR",18.410462,-66.060533
"146","00929",3,"San Juan","PR",18.410462,-66.060533
"147","00936",2,"San Juan","PR",18.410462,-66.060533
"148","00940",1,"San Juan","PR",18.410462,-66.060533
"149","00947",1,NA,NA,NA,NA
"150","00949",7,"Toa Baja","PR",18.433173,-66.2042
"151","00950",2,"Toa Baja","PR",18.457761,-66.196503
"152","00951",2,"Toa Baja","PR",18.457761,-66.196503
"153","00952",2,"Sabana Seca","PR",18.429218,-66.18014
"154","00953",3,"Toa Alta","PR",18.36802,-66.23414
"155","00954",3,"Toa Alta","PR",18.358939,-66.258108
"156","00956",6,"Bayamon","PR",18.34216,-66.16643
"157","00957",1,"Bayamon","PR",18.369674,-66.18669
"158","00958",1,"Bayamon","PR",18.34487,-66.166014
"159","00959",2,"Bayamon","PR",18.387063,-66.15943
"160","00960",1,"Bayamon","PR",18.34487,-66.166014
"161","00961",1,"Bayamon","PR",18.412462,-66.16033
"162","00962",4,"Catano","PR",18.437683,-66.13847
"163","00963",3,"Catano","PR",18.443217,-66.139293
"164","00965",2,"Guaynabo","PR",18.431453,-66.11703
"165","00966",1,"Guaynabo","PR",18.398507,-66.11522
"166","00968",1,"Guaynabo","PR",18.408479,-66.1025
"167","00969",3,"Guaynabo","PR",18.366981,-66.10889
"168","00970",2,"Guaynabo","PR",18.359143,-66.112295
"169","00971",2,"Guaynabo","PR",18.329688,-66.11876
"170","00976",7,"Trujillo Alto","PR",18.346767,-66.00561
"171","00977",1,"Trujillo Alto","PR",18.337004,-65.990099
"172","00978",2,"St Just","PR",18.337004,-65.990099
"173","00979",4,"Carolina","PR",18.431885,-66.0127
"174","00981",1,"Carolina","PR",18.410462,-66.060533
"175","00982",1,"Carolina","PR",18.409345,-65.99313
"176","00983",4,"Carolina","PR",18.414408,-65.97582
"177","00984",1,"Carolina","PR",18.393355,-65.972495
"178","00985",3,"Carolina","PR",18.374896,-65.94691
"179","00986",1,"Carolina","PR",18.393355,-65.972495
"180","00987",4,"Carolina","PR",18.372228,-65.96275
"181","00988",1,"Carolina","PR",18.393355,-65.972495
"182","02141",1,"Cambridge","MA",42.370519,-71.08443
"183","11373",1,"Elmhurst","NY",40.736076,-73.87804
"184","11435",1,"Jamaica","NY",40.700068,-73.80986
"185","15129",1,"Library","PA",40.289752,-80.00756
"186","15222",1,"Pittsburgh","PA",40.447036,-79.99313
"187","15236",1,"Pittsburgh","PA",40.342869,-79.97929
"188","15301",1,"Washington","PA",40.170663,-80.25185
"189","15311",1,"Amity","PA",40.042851,-80.18827
"190","15701",1,"Indiana","PA",40.626307,-79.16146
"191","15742",1,"Glen Campbell","PA",40.816706,-78.8636
"192","15774",1,"Shelocta","PA",40.657804,-79.3328
"193","16627",1,"Coalport","PA",40.753504,-78.52097
"194","16656",1,"Irvona","PA",40.792727,-78.5578
"195","16823",1,"Bellefonte","PA",40.91255,-77.77387
"196","16844",1,"Julian","PA",40.896662,-77.91555
"197","16853",1,"Milesburg","PA",40.942533,-77.7892
"198","17701",1,"Williamsport","PA",41.256736,-77.0108
"199","17728",1,"Cogan Station","PA",41.318934,-77.08211
"200","17745",1,"Lock Haven","PA",41.146432,-77.42658
"201","17754",1,"Montoursville","PA",41.271098,-76.90382
"202","17771",1,"Trout Run","PA",41.43664,-77.03435
"203","18619",1,"Hillsgrove","PA",41.448101,-76.6963
"204","23320",1,"Chesapeake","VA",36.761698,-76.24511
"205","23321",1,"Chesapeake","VA",36.826239,-76.41524
"206","23322",1,"Chesapeake","VA",36.687543,-76.22905
"207","23323",1,"Chesapeake","VA",36.757815,-76.3358
"208","23324",1,"Chesapeake","VA",36.805717,-76.27126
"209","23325",1,"Chesapeake","VA",36.814897,-76.23848
"210","23434",1,"Suffolk","VA",36.735893,-76.59656
"211","23435",1,"Suffolk","VA",36.84882,-76.46521
"212","23438",1,"Suffolk","VA",36.578692,-76.70129
"213","23451",1,"Virginia Beach","VA",36.864788,-76.00098
"214","23452",4,"Virginia Beach","VA",36.839209,-76.09333
"215","23453",3,"Virginia Beach","VA",36.786753,-76.082079
"216","23454",2,"Virginia Beach","VA",36.838398,-76.02862
"217","23455",1,"Virginia Beach","VA",36.889797,-76.1426
"218","23456",3,"Virginia Beach","VA",36.762459,-76.06139
"219","23457",1,"Virginia Beach","VA",36.600219,-76.03592
"220","23460",1,"Virginia Beach","VA",36.837598,-76.026053
"221","23462",2,"Virginia Beach","VA",36.839648,-76.15177
"222","23464",1,"Virginia Beach","VA",36.799284,-76.17767
"223","23502",1,"Norfolk","VA",36.855247,-76.21233
"224","23503",1,"Norfolk","VA",36.942947,-76.2547
"225","23504",1,"Norfolk","VA",36.859362,-76.27028
"226","23505",1,"Norfolk","VA",36.913147,-76.28444
"227","23507",1,"Norfolk","VA",36.864047,-76.29947
"228","23508",1,"Norfolk","VA",36.886447,-76.30065
"229","23509",1,"Norfolk","VA",36.880297,-76.2596
"230","23510",1,"Norfolk","VA",36.852547,-76.29028
"231","23513",1,"Norfolk","VA",36.888147,-76.23909
"232","23517",1,"Norfolk","VA",36.870197,-76.29271
"233","23518",1,"Norfolk","VA",36.916497,-76.21796
"234","23601",1,"Newport News","VA",37.053346,-76.45948
"235","23602",1,"Newport News","VA",37.115698,-76.5183
"236","23605",1,"Newport News","VA",37.019453,-76.43651
"237","23607",1,"Newport News","VA",36.987151,-76.4195
"238","23608",1,"Newport News","VA",37.151315,-76.54812
"239","23661",1,"Hampton","VA",37.005814,-76.38316
