"","zip","Freq","city","state","latitude","longitude"
"1061","13480",1,"Waterville","NY",42.922823,-75.36494
"1062","13495",1,"Yorkville","NY",43.110619,-75.27716
"1063","15017",1,"Bridgeville","PA",40.351802,-80.11534
"1064","15018",1,"Buena Vista","PA",40.266358,-79.79325
"1065","15025",1,"Clairton","PA",40.292974,-79.90179
"1066","15037",1,"Elizabeth","PA",40.258438,-79.85946
"1067","15057",2,"McDonald","PA",40.357286,-80.23629
"1068","15060",1,"Midway","PA",40.368154,-80.2924
"1069","15062",1,"Monessen","PA",40.154271,-79.88277
"1070","15063",1,"Monongahela","PA",40.196694,-79.92642
"1071","15071",1,"Oakdale","PA",40.420319,-80.18692
"1072","15088",1,"West Elizabeth","PA",40.272901,-79.89491
"1073","15090",1,"Wexford","PA",40.617016,-80.05916
"1074","15102",1,"Bethel Park","PA",40.324535,-80.03864
"1075","15104",1,"Braddock","PA",40.404743,-79.86439
"1076","15129",1,"Library","PA",40.289752,-80.00756
"1077","15133",1,"McKeesport","PA",40.332502,-79.8646
"1078","15135",1,"McKeesport","PA",40.306819,-79.8145
"1079","15136",1,"McKees Rocks","PA",40.471618,-80.07695
"1080","15140",1,"Pitcairn","PA",40.405768,-79.77643
"1081","15143",1,"Sewickley","PA",40.561091,-80.15554
"1082","15207",1,"Pittsburgh","PA",40.399355,-79.93414
"1083","15227",1,"Pittsburgh","PA",40.377869,-79.97516
"1084","15228",1,"Pittsburgh","PA",40.372802,-80.0448
"1085","15234",1,"Pittsburgh","PA",40.369619,-80.01831
"1086","15236",1,"Pittsburgh","PA",40.342869,-79.97929
"1087","15241",2,"Pittsburgh","PA",40.329619,-80.07364
"1088","15243",1,"Pittsburgh","PA",40.372669,-80.0712
"1089","15314",1,"Bentleyville","PA",40.127951,-80.01226
"1090","15317",1,"Canonsburg","PA",40.26819,-80.16222
"1091","15321",1,"Cecil","PA",40.322872,-80.18745
"1092","15332",1,"Finleyville","PA",40.250299,-79.99436
"1093","15367",1,"Venetia","PA",40.261394,-80.05254
"1094","15401",1,"Uniontown","PA",39.89822,-79.7311
"1095","15425",3,"Connellsville","PA",40.024138,-79.58414
"1096","15431",1,"Dunbar","PA",39.968368,-79.61815
"1097","15456",1,"Lemont Furnace","PA",39.923495,-79.66014
"1098","15465",1,"Mount Braddock","PA",39.932084,-79.65217
"1099","15611",1,"Adamsburg","PA",40.3044,-79.65604
"1100","15613",2,"Apollo","PA",40.560849,-79.57544
"1101","15650",1,"Latrobe","PA",40.299646,-79.38845
"1102","15673",1,"North Apollo","PA",40.593301,-79.55779
"1103","15681",1,"Saltsburg","PA",40.500852,-79.4463
"1104","15686",1,"Spring Church","PA",40.608969,-79.42092
"1105","15690",2,"Vandergrift","PA",40.612649,-79.56708
"1106","15747",1,"Home","PA",40.763402,-79.14759
"1107","15767",1,"Punxsutawney","PA",40.954059,-78.97017
"1108","15801",2,"Du Bois","PA",41.125563,-78.74648
"1109","15848",1,"Luthersburg","PA",41.031691,-78.72684
"1110","15849",1,"Penfield","PA",41.201892,-78.56335
"1111","15851",1,"Reynoldsville","PA",41.095493,-78.88994
"1112","15857",1,"Saint Marys","PA",41.4376,-78.54272
"1113","15865",1,"Sykesville","PA",41.049353,-78.81868
